participant_id,file,action,take,camera,start,end,detection_rate,in_frame_rate,verdict
P006,data/raw/_nosound/P006_S1_M03_T04_CAM_F.mov,M03,004,cam01,00:00,00:17,1.000,1.000,OK
P006,data/raw/_nosound/P006_S1_M04_T01_CAM_F.mov,M04,001,cam01,00:00,00:03,1.000,1.000,OK
P006,data/raw/_nosound/P006_S1_M04_T02_CAM_F.mov,M04,002,cam01,00:00,00:04,1.000,1.000,OK
P006,data/raw/_nosound/P006_S1_M04_T03_CAM_F.mov,M04,003,cam01,00:00,00:05,1.000,1.000,OK
P006,data/raw/_nosound/P006_S1_M04_T04_CAM_F.mov,M04,004,cam01,00:00,00:04,1.000,1.000,OK
P006,data/raw/_nosound/P006_S1_M05_T01_CAM_F.mov,M05,001,cam01,00:00,00:14,1.000,1.000,OK
P006,data/raw/_nosound/P006_S1_M06_T01_CAM_F.mov,M06,001,cam01,00:00,00:10,1.000,0.928,OK
P006,data/raw/_nosound/P006_S1_M06_T02_CAM_F.mov,M06,002,cam01,00:00,00:06,1.000,1.000,OK
P006,data/raw/_nosound/P006_S1_M06_T03_CAM_F.mov,M06,003,cam01,00:00,00:06,1.000,1.000,OK
P006,data/raw/_nosound/P006_S1_M06_T04_CAM_F.mov,M06,004,cam01,00:00,00:06,1.000,1.000,OK
P006,data/raw/_nosound/P006_S1_M07_T01_CAM_F.mov,M07,001,cam01,00:00,00:08,1.000,1.000,OK
P006,data/raw/_nosound/P006_S1_M07_T02_CAM_F.mov,M07,002,cam01,00:00,00:09,1.000,1.000,OK
P007,data/raw/_nosound/P007_S1_M00_T01_CAM_F.mov,M00,001,cam01,00:00,00:22,1.000,1.000,OK
P007,data/raw/_nosound/P007_S1_M01_T01_CAM_F.mov,M01,001,cam01,00:00,00:11,1.000,1.000,OK
P007,data/raw/_nosound/P007_S1_M01_T02_CAM_F.mov,M01,002,cam01,00:00,00:12,1.000,1.000,OK
P007,data/raw/_nosound/P007_S1_M02_T01_CAM_F.mov,M02,001,cam01,00:00,00:07,1.000,1.000,OK
P007,data/raw/_nosound/P007_S1_M02_T02_CAM_F.mov,M02,002,cam01,00:00,00:06,1.000,1.000,OK
P007,data/raw/_nosound/P007_S1_M02_T03_CAM_F.mov,M02,003,cam01,00:00,00:07,1.000,1.000,OK
P007,data/raw/_nosound/P007_S1_M02_T04_CAM_F.mov,M02,004,cam01,00:00,00:05,1.000,1.000,OK
P007,data/raw/_nosound/P007_S1_M03_T01_CAM_F.mov,M03,001,cam01,00:00,00:20,1.000,1.000,OK
